# {'EVID','X','Y','Z','OT','dOT','ex','ey','ez'} (%8.3f %8.3f %8.3f %015.3f %7.3f %f %f %f\n)
000  -19.384  -19.259    6.800 20160612121114.789   0.041 0.148000 0.147000 0.240000
001  -19.068  -18.871    6.650 20160613121114.801   0.036 0.198000 0.150000 0.290000
002  -18.591  -18.483    6.420 20160614121114.801   0.040 0.167000 0.190000 0.260000
003  -18.217  -17.791    6.440 20160615121114.801   0.063 0.149000 0.181000 0.230000
004  -17.882  -17.766    6.600 20160616121114.801   0.009 0.157000 0.210000 0.290000
005  -17.597  -17.442    6.580 20160617121114.801  -0.022 0.132000 0.167000 0.230000
006  -17.033  -16.534    6.010 20160618121114.801   0.041 0.163000 0.148000 0.280000
007  -16.605  -16.640    6.420 20160619121114.801  -0.003 0.155000 0.161000 0.230000
008  -16.345  -16.228    6.820 20160620121114.801  -0.028 0.116000 0.206000 0.230000
009  -15.561  -15.835    6.280 20160621121114.801   0.045 0.158000 0.199000 0.250000
010  -15.316  -15.176    6.470 20160622121114.801   0.015 0.136000 0.160000 0.240000
011  -15.195  -14.848    6.260 20160623121114.801  -0.003 0.146000 0.134000 0.220000
012  -14.746  -14.656    6.450 20160624121114.801  -0.041 0.146000 0.166000 0.190000
013  -14.296  -14.314    6.580 20160625121114.801  -0.022 0.112000 0.120000 0.210000
014  -13.719  -13.683    6.340 20160626121114.801  -0.001 0.175000 0.130000 0.200000
015  -13.436  -13.263    6.660 20160627121114.801  -0.010 0.106000 0.135000 0.170000
016  -13.228  -12.880    6.710 20160628121114.801  -0.040 0.161000 0.133000 0.220000
017  -12.514  -12.276    6.070 20160629121114.801   0.040 0.108000 0.124000 0.170000
018  -12.129  -12.173    6.290 20160630121114.801  -0.023 0.104000 0.167000 0.210000
019  -12.167  -11.797    6.340 20160701121114.801  -0.040 0.175000 0.140000 0.240000
020  -11.666  -11.189    6.020 20160702121114.801  -0.023 0.157000 0.170000 0.200000
021  -10.990  -10.810    5.980 20160703121114.801   0.017 0.118000 0.157000 0.180000
022  -10.508  -10.538    6.180 20160704121114.809   0.007 0.111000 0.106000 0.190000
023  -10.013   -9.980    6.160 20160705121114.809  -0.003 0.114000 0.116000 0.180000
024   -9.510   -9.414    6.200 20160706121114.809   0.032 0.127000 0.169000 0.220000
025   -9.006   -9.026    5.960 20160707121114.809   0.030 0.133000 0.101000 0.200000
026   -8.940   -8.745    6.000 20160708121114.809   0.011 0.090000 0.134000 0.160000
027   -8.472   -8.257    6.040 20160709121114.809   0.027 0.106000 0.114000 0.150000
028   -8.194   -8.109    6.130 20160710121114.809  -0.005 0.127000 0.110000 0.170000
029   -7.949   -7.512    6.040 20160711121114.809  -0.012 0.115000 0.090000 0.190000
